2025-02-03 2:28:07 PM app start
2025-02-03 2:39:02 PM A03 consumtion realtime data calculated
2025-02-03 2:39:02 PM SC_GLORY1 consumtion realtime data calculated
2025-02-03 2:39:02 PM A05 consumtion realtime data calculated
2025-02-03 2:39:02 PM SC_SULTAN consumtion realtime data calculated
2025-02-03 2:39:02 PM A03 flowrate realtime data calculated
2025-02-03 2:39:02 PM A04 flowrate realtime data calculated
2025-02-03 2:39:02 PM SC_CHOLUEDEE consumtion historian data calculated
2025-02-03 2:39:02 PM A03 consumtion historian data calculated
2025-02-03 2:39:02 PM SC_GLORY1 consumtion historian data calculated
2025-02-03 2:39:02 PM A06 flowrate realtime data calculated
2025-02-03 2:39:02 PM A05 consumtion historian data calculated
2025-02-03 2:39:02 PM SC_SULTAN consumtion historian data calculated
2025-02-03 2:39:02 PM A06 consumtion realtime data calculated
2025-02-03 2:39:02 PM A02 flowrate realtime data calculated
2025-02-03 2:39:02 PM SC_CHOLUEDEE flowrate realtime data calculated
2025-02-03 2:39:02 PM SC_GLORY1 flowrate realtime data calculated
2025-02-03 2:39:02 PM SC_GLORY3 flowrate realtime data calculated
2025-02-03 2:39:02 PM SC_RAJA flowrate realtime data calculated
2025-02-03 2:39:02 PM A03 flowrate historian data calculated
2025-02-03 2:39:02 PM A04 flowrate historian data calculated
2025-02-03 2:39:02 PM SC_GLORY3 consumtion realtime data calculated
2025-02-03 2:39:02 PM A06 flowrate historian data calculated
2025-02-03 2:39:02 PM A06 consumtion historian data calculated
2025-02-03 2:39:02 PM A02 flowrate historian data calculated
2025-02-03 2:39:02 PM A09 consumtion realtime data calculated
2025-02-03 2:39:02 PM SC_CHOLUEDEE flowrate historian data calculated
2025-02-03 2:39:02 PM SC_GLORY1 flowrate historian data calculated
2025-02-03 2:39:02 PM SC_GLORY3 flowrate historian data calculated
2025-02-03 2:39:02 PM BB_MULIA consumtion realtime data calculated
2025-02-03 2:39:02 PM SC_RAJA flowrate historian data calculated
2025-02-03 2:39:02 PM A03 spd rpm realtime calulated
2025-02-03 2:39:02 PM SC_RAJA consumtion realtime data calculated
2025-02-03 2:39:02 PM A01 flowrate realtime data calculated
