2025-01-31 7:03:01 AM A02 flowrate historian data calculated
2025-01-31 7:03:01 AM SC_CHOLUEDEE flowrate realtime data calculated
2025-01-31 7:03:01 AM SC_SULTAN flowrate realtime data calculated
2025-01-31 7:03:01 AM A06 flowrate realtime data calculated
2025-01-31 7:03:01 AM A05 flowrate realtime data calculated
2025-01-31 7:03:01 AM SC_GLORY1 flowrate realtime data calculated
2025-01-31 7:03:01 AM SC_GLORY3 flowrate realtime data calculated
2025-01-31 7:03:01 AM A07 flowrate realtime data calculated
2025-01-31 7:03:01 AM A01 flowrate historian data calculated
2025-01-31 7:03:01 AM A09 flowrate realtime data calculated
2025-01-31 7:03:01 AM A03 flowrate historian data calculated
2025-01-31 7:03:01 AM SC_RAJA flowrate realtime data calculated
2025-01-31 7:03:01 AM BB_GOMEN flowrate realtime data calculated
2025-01-31 7:03:01 AM A04 flowrate historian data calculated
2025-01-31 7:03:01 AM BB_MULIA flowrate realtime data calculated
2025-01-31 7:03:01 AM SC_CHOLUEDEE flowrate historian data calculated
2025-01-31 7:03:01 AM A02 spd rpm realtime calulated
2025-01-31 7:03:01 AM A01 spd rpm realtime calulated
2025-01-31 7:03:01 AM A03 spd rpm realtime calulated
2025-01-31 7:03:01 AM SC_SULTAN flowrate historian data calculated
2025-01-31 7:03:01 AM A06 flowrate historian data calculated
2025-01-31 7:03:01 AM A04 spd rpm realtime calulated
2025-01-31 7:03:01 AM A05 flowrate historian data calculated
2025-01-31 7:03:01 AM SC_SULTAN spd rpm realtime calulated
2025-01-31 7:03:01 AM SC_GLORY1 flowrate historian data calculated
2025-01-31 7:03:01 AM A06 spd rpm realtime calulated
2025-01-31 7:03:01 AM SC_GLORY3 flowrate historian data calculated
2025-01-31 7:03:01 AM SC_CHOLUEDEE spd rpm realtime calulated
2025-01-31 7:03:01 AM A07 flowrate historian data calculated
2025-01-31 7:03:01 AM A05 spd rpm realtime calulated
2025-01-31 7:03:01 AM A09 flowrate historian data calculated
